Brand,Title,Original_price,Sale_price,Discount
The FormulaRX,Peptide Ceramide Moisturizer - Barrier Plus - 50gm,₹699,₹615,12%
Bubblefarm,Ceramide & Aloe Vera Gel Creme Moisturiser - 50gm,₹449,₹314,30%
Dr. Sheth's,Ceramide & Vitamin C Oil-Free Moisturizer - 50g,₹349,₹297,15%
Foxtale,Smoothening Moisturizer -50 ml,N/A,₹445,N/A
The FormulaRX,Barrier Relief Lightweight Gel-cream Moisturizer - 50gm,₹699,₹615,12%
Deconstruct Skincare,Soothe Moisturizer- 1% Ceramides + 0.2% Bisabolol - 50 gm,₹379,₹360,5%
Indulgeo Essentials,CERA MOIST- Ceramide Calming Skin Moisturizer 1% iACTIVE - 50ml,N/A,"₹2,250",N/A
The Face Shop,Rice & Ceramide Moisturizing Skincare Set,₹700,₹630,10%
Foxtale,"Essentials Daily Moisturizer For Face, Kokum Butter, Vitamin E and Niacinamide - 50ml",N/A,₹249,N/A
Nua,"Oil-Free Gel Moisturizer | Moisturizer for Oily Skin with 5% Niacinamide, Ceramides, Vitamin B5 and Vitamin E - 50 gm",₹399,₹359,10%
mCaffeine,Latte Coffee Moisturizer - 50ml,₹449,₹332,26%
The Face Shop,Rice & Ceramide Moisturizing Emulsion - 150ml,₹890,₹801,10%
Indulgeo Essentials,CeraRange (Moist+ Wash+Cleanse) - 430ml,N/A,"₹3,690",N/A
Qurez,Oil Free Hydrating Moisturizer - 60gm,N/A,₹695,N/A
Dr. Different,131 Moisturizer- 100ml,"₹3,719","₹3,347",10%
Dr. Different,311 Moisturizer- 100ml,"₹2,999","₹2,699",10%
Dr. Different,113 Moisturizer- 100ml,"₹2,999","₹2,699",10%
Within Beauty,Daily Dew Barrier Restore Gel Moisturizer for Oily & Sensitive Skin,N/A,₹719,N/A
Within Beauty,Hello Hydration Barrier Restore Cream Moisturizer for Normal to Dry Skin,N/A,₹719,N/A
Conscious Chemist,Hydrating & Plumping Serum - 15ml,₹399,₹279,30%
FAE Beauty,Daily Dip Daily Moisturizer - 50ml,₹599,₹539,10%
COSRX,Balancium Comfort Ceramide Cream - 80gm,"₹1,950","₹1,462",25%
The FormulaRX,The Glow Combo,"₹1,548","₹1,285",17%
Bioderma,"Atoderm Intensive Ultra-soothing Baume - Moisturizer for very dry, Sensitive to Atopic Skin, 45ml",N/A,₹451,N/A
